Assembly Accession	Assembly Unplaced Count	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001482.1	Chromosome		NW_024605204.1	unplaced-scaffold	4288		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001484.1	Chromosome		NW_024605624.1	unplaced-scaffold	5072		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001486.1	Chromosome		NW_024604560.1	unplaced-scaffold	3490		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001487.1	Chromosome		NW_024602291.1	unplaced-scaffold	497		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001488.1	Chromosome		NW_024606578.1	unplaced-scaffold	9589		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001489.1	Chromosome		NW_024607241.1	unplaced-scaffold	21133		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001492.1	Chromosome		NW_024608768.1	unplaced-scaffold	79689		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001493.1	Chromosome		NW_024606186.1	unplaced-scaffold	7054		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001494.1	Chromosome		NW_024603681.1	unplaced-scaffold	1904		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001496.1	Chromosome		NW_024606017.1	unplaced-scaffold	6369		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001498.1	Chromosome		NW_024603791.1	unplaced-scaffold	2101		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001499.1	Chromosome		NW_024602564.1	unplaced-scaffold	643		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001500.1	Chromosome		NW_024608095.1	unplaced-scaffold	48888		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001501.1	Chromosome		NW_024606414.1	unplaced-scaffold	8355		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001502.1	Chromosome		NW_024603038.1	unplaced-scaffold	1062		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001503.1	Chromosome		NW_024606502.1	unplaced-scaffold	9000		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001505.1	Chromosome		NW_024606373.1	unplaced-scaffold	8128		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001507.1	Chromosome		NW_024604800.1	unplaced-scaffold	3805		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001509.1	Chromosome		NW_024602936.1	unplaced-scaffold	932		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001510.1	Chromosome		NW_024602509.1	unplaced-scaffold	611		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001511.1	Chromosome		NW_024607107.1	unplaced-scaffold	17820		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001512.1	Chromosome		NW_024605218.1	unplaced-scaffold	4306		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001513.1	Chromosome		NW_024609581.1	unplaced-scaffold	231932		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001514.1	Chromosome		NW_024602745.1	unplaced-scaffold	774		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001515.1	Chromosome		NW_024603839.1	unplaced-scaffold	2198		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001517.1	Chromosome		NW_024602957.1	unplaced-scaffold	954		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001518.1	Chromosome		NW_024603714.1	unplaced-scaffold	1966		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001519.1	Chromosome		NW_024607080.1	unplaced-scaffold	17150		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001520.1	Chromosome		NW_024604674.1	unplaced-scaffold	3635		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001521.1	Chromosome		NW_024603351.1	unplaced-scaffold	1414		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001522.1	Chromosome		NW_024608313.1	unplaced-scaffold	57255		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001523.1	Chromosome		NW_024608990.1	unplaced-scaffold	96344		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001528.1	Chromosome		NW_024603393.1	unplaced-scaffold	1482		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001530.1	Chromosome		NW_024605954.1	unplaced-scaffold	6182		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001531.1	Chromosome		NW_024605460.1	unplaced-scaffold	4702		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001532.1	Chromosome		NW_024605638.1	unplaced-scaffold	5126		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001533.1	Chromosome		NW_024608992.1	unplaced-scaffold	96378		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001534.1	Chromosome		NW_024607120.1	unplaced-scaffold	18068		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001535.1	Chromosome		NW_024603814.1	unplaced-scaffold	2140		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001536.1	Chromosome		NW_024607427.1	unplaced-scaffold	26021		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001538.1	Chromosome		NW_024606247.1	unplaced-scaffold	7400		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001539.1	Chromosome		NW_024604850.1	unplaced-scaffold	3883		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001540.1	Chromosome		NW_024607388.1	unplaced-scaffold	24804		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001541.1	Chromosome		NW_024607960.1	unplaced-scaffold	43207		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001544.1	Chromosome		NW_024607549.1	unplaced-scaffold	29414		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001545.1	Chromosome		NW_024602640.1	unplaced-scaffold	699		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001546.1	Chromosome		NW_024603754.1	unplaced-scaffold	2039		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001547.1	Chromosome		NW_024603909.1	unplaced-scaffold	2337		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001548.1	Chromosome		NW_024602256.1	unplaced-scaffold	450		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001549.1	Chromosome		NW_024609444.1	unplaced-scaffold	176386		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001551.1	Chromosome		NW_024605305.1	unplaced-scaffold	4432		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001552.1	Chromosome		NW_024608634.1	unplaced-scaffold	71389		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001553.1	Chromosome		NW_024606949.1	unplaced-scaffold	14340		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001554.1	Chromosome		NW_024604745.1	unplaced-scaffold	3729		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001555.1	Chromosome		NW_024602600.1	unplaced-scaffold	663		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001556.1	Chromosome		NW_024605264.1	unplaced-scaffold	4376		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001557.1	Chromosome		NW_024606836.1	unplaced-scaffold	12574		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001558.1	Chromosome		NW_024605515.1	unplaced-scaffold	4825		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001559.1	Chromosome		NW_024604868.1	unplaced-scaffold	3903		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001561.1	Chromosome		NW_024609461.1	unplaced-scaffold	181252		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001562.1	Chromosome		NW_024606671.1	unplaced-scaffold	10517		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001563.1	Chromosome		NW_024608239.1	unplaced-scaffold	54686		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001564.1	Chromosome		NW_024608647.1	unplaced-scaffold	72226		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001565.1	Chromosome		NW_024603826.1	unplaced-scaffold	2153		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001569.1	Chromosome		NW_024608584.1	unplaced-scaffold	68623		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001570.1	Chromosome		NW_024605543.1	unplaced-scaffold	4893		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001571.1	Chromosome		NW_024602276.1	unplaced-scaffold	478		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001572.1	Chromosome		NW_024607473.1	unplaced-scaffold	27189		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001573.1	Chromosome		NW_024606832.1	unplaced-scaffold	12564		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001574.1	Chromosome		NW_024605039.1	unplaced-scaffold	4090		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001575.1	Chromosome		NW_024605944.1	unplaced-scaffold	6130		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001576.1	Chromosome		NW_024606213.1	unplaced-scaffold	7224		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001577.1	Chromosome		NW_024606940.1	unplaced-scaffold	14226		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001578.1	Chromosome		NW_024608598.1	unplaced-scaffold	69409		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001580.1	Chromosome		NW_024604161.1	unplaced-scaffold	2758		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001581.1	Chromosome		NW_024603871.1	unplaced-scaffold	2258		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001582.1	Chromosome		NW_024607215.1	unplaced-scaffold	20450		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001583.1	Chromosome		NW_024605640.1	unplaced-scaffold	5134		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001584.1	Chromosome		NW_024604227.1	unplaced-scaffold	2867		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001585.1	Chromosome		NW_024604631.1	unplaced-scaffold	3579		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001586.1	Chromosome		NW_024603482.1	unplaced-scaffold	1592		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001587.1	Chromosome		NW_024608568.1	unplaced-scaffold	67925		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001589.1	Chromosome		NW_024605695.1	unplaced-scaffold	5272		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001590.1	Chromosome		NW_024609801.1	unplaced-scaffold	560382		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001592.1	Chromosome		NW_024603011.1	unplaced-scaffold	1035		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001593.1	Chromosome		NW_024608364.1	unplaced-scaffold	59380		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001594.1	Chromosome		NW_024602772.1	unplaced-scaffold	800		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001595.1	Chromosome		NW_024605760.1	unplaced-scaffold	5455		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001596.1	Chromosome		NW_024608723.1	unplaced-scaffold	76886		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001597.1	Chromosome		NW_024605950.1	unplaced-scaffold	6173		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001598.1	Chromosome		NW_024607254.1	unplaced-scaffold	21490		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001599.1	Chromosome		NW_024602375.1	unplaced-scaffold	539		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001600.1	Chromosome		NW_024602463.1	unplaced-scaffold	586		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001603.1	Chromosome		NW_024602306.1	unplaced-scaffold	511		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001605.1	Chromosome		NW_024609252.1	unplaced-scaffold	128190		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001606.1	Chromosome		NW_024607324.1	unplaced-scaffold	23149		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001607.1	Chromosome		NW_024609758.1	unplaced-scaffold	405977		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001608.1	Chromosome		NW_024607772.1	unplaced-scaffold	36604		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001614.1	Chromosome		NW_024606594.1	unplaced-scaffold	9782		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001615.1	Chromosome		NW_024602980.1	unplaced-scaffold	985		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001616.1	Chromosome		NW_024603712.1	unplaced-scaffold	1965		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001618.1	Chromosome		NW_024609061.1	unplaced-scaffold	103286		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001619.1	Chromosome		NW_024604290.1	unplaced-scaffold	2988		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001621.1	Chromosome		NW_024606462.1	unplaced-scaffold	8680		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001622.1	Chromosome		NW_024609199.1	unplaced-scaffold	120423		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001623.1	Chromosome		NW_024606447.1	unplaced-scaffold	8574		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001624.1	Chromosome		NW_024608551.1	unplaced-scaffold	67123		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001625.1	Chromosome		NW_024604071.1	unplaced-scaffold	2622		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001627.1	Chromosome		NW_024605448.1	unplaced-scaffold	4688		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001628.1	Chromosome		NW_024602927.1	unplaced-scaffold	926		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001631.1	Chromosome		NW_024602776.1	unplaced-scaffold	804		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001632.1	Chromosome		NW_024602327.1	unplaced-scaffold	517		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001635.1	Chromosome		NW_024604876.1	unplaced-scaffold	3914		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001637.1	Chromosome		NW_024608982.1	unplaced-scaffold	95684		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001638.1	Chromosome		NW_024608116.1	unplaced-scaffold	49624		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001640.1	Chromosome		NW_024603129.1	unplaced-scaffold	1159		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001642.1	Chromosome		NW_024605890.1	unplaced-scaffold	5907		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001643.1	Chromosome		NW_024605345.1	unplaced-scaffold	4505		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001644.1	Chromosome		NW_024604502.1	unplaced-scaffold	3389		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001645.1	Chromosome		NW_024607348.1	unplaced-scaffold	23883		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001649.1	Chromosome		NW_024609256.1	unplaced-scaffold	128968		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001650.1	Chromosome		NW_024605726.1	unplaced-scaffold	5374		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001651.1	Chromosome		NW_024608062.1	unplaced-scaffold	47102		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001652.1	Chromosome		NW_024608084.1	unplaced-scaffold	48111		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001653.1	Chromosome		NW_024609703.1	unplaced-scaffold	322664		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001654.1	Chromosome		NW_024605285.1	unplaced-scaffold	4414		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001655.1	Chromosome		NW_024605881.1	unplaced-scaffold	5863		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001657.1	Chromosome		NW_024602324.1	unplaced-scaffold	516		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001659.1	Chromosome		NW_024602333.1	unplaced-scaffold	518		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001660.1	Chromosome		NW_024604712.1	unplaced-scaffold	3691		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001663.1	Chromosome		NW_024605571.1	unplaced-scaffold	4969		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001664.1	Chromosome		NW_024608622.1	unplaced-scaffold	70233		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001666.1	Chromosome		NW_024602206.1	unplaced-scaffold	235		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001667.1	Chromosome		NW_024603022.1	unplaced-scaffold	1047		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001668.1	Chromosome		NW_024604756.1	unplaced-scaffold	3740		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001669.1	Chromosome		NW_024604035.1	unplaced-scaffold	2571		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001670.1	Chromosome		NW_024604210.1	unplaced-scaffold	2834		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001671.1	Chromosome		NW_024606190.1	unplaced-scaffold	7071		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001672.1	Chromosome		NW_024608372.1	unplaced-scaffold	59674		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001673.1	Chromosome		NW_024607004.1	unplaced-scaffold	15371		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001674.1	Chromosome		NW_024604752.1	unplaced-scaffold	3736		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001675.1	Chromosome		NW_024602820.1	unplaced-scaffold	835		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001676.1	Chromosome		NW_024602663.1	unplaced-scaffold	715		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001677.1	Chromosome		NW_024603543.1	unplaced-scaffold	1681		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001679.1	Chromosome		NW_024605327.1	unplaced-scaffold	4469		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001680.1	Chromosome		NW_024604702.1	unplaced-scaffold	3676		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001681.1	Chromosome		NW_024604528.1	unplaced-scaffold	3419		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001682.1	Chromosome		NW_024604761.1	unplaced-scaffold	3749		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001686.1	Chromosome		NW_024603172.1	unplaced-scaffold	1200		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001687.1	Chromosome		NW_024608258.1	unplaced-scaffold	55289		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001688.1	Chromosome		NW_024604690.1	unplaced-scaffold	3658		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001689.1	Chromosome		NW_024604852.1	unplaced-scaffold	3884		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001690.1	Chromosome		NW_024603391.1	unplaced-scaffold	1481		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001691.1	Chromosome		NW_024606343.1	unplaced-scaffold	7940		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001692.1	Chromosome		NW_024608009.1	unplaced-scaffold	44827		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001694.1	Chromosome		NW_024606230.1	unplaced-scaffold	7312		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001695.1	Chromosome		NW_024603986.1	unplaced-scaffold	2476		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001696.1	Chromosome		NW_024609141.1	unplaced-scaffold	113437		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001697.1	Chromosome		NW_024606524.1	unplaced-scaffold	9175		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001698.1	Chromosome		NW_024606409.1	unplaced-scaffold	8311		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001699.1	Chromosome		NW_024604790.1	unplaced-scaffold	3794		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001700.1	Chromosome		NW_024607043.1	unplaced-scaffold	16352		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001701.1	Chromosome		NW_024602808.1	unplaced-scaffold	823		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001702.1	Chromosome		NW_024606850.1	unplaced-scaffold	12718		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001703.1	Chromosome		NW_024606718.1	unplaced-scaffold	11135		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001704.1	Chromosome		NW_024604439.1	unplaced-scaffold	3281		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001705.1	Chromosome		NW_024605570.1	unplaced-scaffold	4968		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001706.1	Chromosome		NW_024609451.1	unplaced-scaffold	179029		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001707.1	Chromosome		NW_024607019.1	unplaced-scaffold	15823		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001708.1	Chromosome		NW_024606383.1	unplaced-scaffold	8185		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001709.1	Chromosome		NW_024603381.1	unplaced-scaffold	1456		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001710.1	Chromosome		NW_024603752.1	unplaced-scaffold	2036		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001711.1	Chromosome		NW_024605352.1	unplaced-scaffold	4523		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001712.1	Chromosome		NW_024605461.1	unplaced-scaffold	4706		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001713.1	Chromosome		NW_024607207.1	unplaced-scaffold	20321		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001714.1	Chromosome		NW_024607638.1	unplaced-scaffold	32535		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001715.1	Chromosome		NW_024607071.1	unplaced-scaffold	16972		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001716.1	Chromosome		NW_024605454.1	unplaced-scaffold	4696		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001717.1	Chromosome		NW_024604579.1	unplaced-scaffold	3517		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001718.1	Chromosome		NW_024609029.1	unplaced-scaffold	99682		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001719.1	Chromosome		NW_024604522.1	unplaced-scaffold	3409		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001720.1	Chromosome		NW_024608309.1	unplaced-scaffold	57074		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001721.1	Chromosome		NW_024607295.1	unplaced-scaffold	22487		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001722.1	Chromosome		NW_024603207.1	unplaced-scaffold	1231		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001723.1	Chromosome		NW_024609595.1	unplaced-scaffold	245555		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001724.1	Chromosome		NW_024605021.1	unplaced-scaffold	4077		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001725.1	Chromosome		NW_024608218.1	unplaced-scaffold	53899		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001726.1	Chromosome		NW_024606200.1	unplaced-scaffold	7140		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001727.1	Chromosome		NW_024604732.1	unplaced-scaffold	3718		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001728.1	Chromosome		NW_024608098.1	unplaced-scaffold	48987		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001729.1	Chromosome		NW_024604114.1	unplaced-scaffold	2684		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001730.1	Chromosome		NW_024602396.1	unplaced-scaffold	549		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001731.1	Chromosome		NW_024603290.1	unplaced-scaffold	1326		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001732.1	Chromosome		NW_024607226.1	unplaced-scaffold	20732		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001733.1	Chromosome		NW_024604062.1	unplaced-scaffold	2614		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001734.1	Chromosome		NW_024604312.1	unplaced-scaffold	3044		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001735.1	Chromosome		NW_024607039.1	unplaced-scaffold	16264		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001737.1	Chromosome		NW_024607998.1	unplaced-scaffold	44160		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001738.1	Chromosome		NW_024604156.1	unplaced-scaffold	2742		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001740.1	Chromosome		NW_024603636.1	unplaced-scaffold	1816		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001741.1	Chromosome		NW_024607405.1	unplaced-scaffold	25455		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001742.1	Chromosome		NW_024603395.1	unplaced-scaffold	1484		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001743.1	Chromosome		NW_024607822.1	unplaced-scaffold	38540		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001744.1	Chromosome		NW_024603059.1	unplaced-scaffold	1083		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001745.1	Chromosome		NW_024604737.1	unplaced-scaffold	3721		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001746.1	Chromosome		NW_024605123.1	unplaced-scaffold	4192		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001747.1	Chromosome		NW_024609656.1	unplaced-scaffold	288246		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001748.1	Chromosome		NW_024604299.1	unplaced-scaffold	3002		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001749.1	Chromosome		NW_024604334.1	unplaced-scaffold	3087		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001751.1	Chromosome		NW_024606844.1	unplaced-scaffold	12637		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001752.1	Chromosome		NW_024603774.1	unplaced-scaffold	2068		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001753.1	Chromosome		NW_024603440.1	unplaced-scaffold	1535		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001754.1	Chromosome		NW_024605450.1	unplaced-scaffold	4692		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001756.1	Chromosome		NW_024607360.1	unplaced-scaffold	24095		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001757.1	Chromosome		NW_024604860.1	unplaced-scaffold	3894		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001758.1	Chromosome		NW_024608921.1	unplaced-scaffold	90458		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001759.1	Chromosome		NW_024603236.1	unplaced-scaffold	1267		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001760.1	Chromosome		NW_024602471.1	unplaced-scaffold	591		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001762.1	Chromosome		NW_024602960.1	unplaced-scaffold	958		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001763.1	Chromosome		NW_024603269.1	unplaced-scaffold	1303		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001764.1	Chromosome		NW_024605883.1	unplaced-scaffold	5866		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001765.1	Chromosome		NW_024607626.1	unplaced-scaffold	32210		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001766.1	Chromosome		NW_024607914.1	unplaced-scaffold	41923		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010001768.1	Chromosome		NW_024604430.1	unplaced-scaffold	3265		
